Product,Seller,Price,Country
Hash | O'Diesel (Biscotti Boy SSH),xStup,"115,00€","France, Metropolitan (FR)"
10 G Drysift Hash - 120/25 µ,PapaGanja,"120,00€","France, Metropolitan (FR)"
100 G Drysift Hash - 120/25 µ,PapaGanja,"850,00€",N/A
100g Drysift White Widow Hash - 150 µ,PapaGanja,"650,00€",N/A
100G Lemon Haze Hash,Chapo,"390,00€",N/A
100G Maroccan blond hash,HashToDelivery,"370,00€","France, Metropolitan (FR)"
100G Maroccan blond hash,HashToDelivery,"410,00€","France, Metropolitan (FR)"
100G Squid Game Haute Qualité,Chapo,"390,00€",N/A
10g Drysift White Widow Hash - 150 µ,PapaGanja,"90,00€","France, Metropolitan (FR)"
10g Hash Dry ~20% THC,LePetitPrince,"67,98€","France, Metropolitan (FR)"
10g Hash Filtré,Copek,"170,00€","France, Metropolitan (FR)"
10g Hash HQ,Copek,"90,00€","France, Metropolitan (FR)"
Abilify (Aripiprazole) 7 x 10 mg,KantFr,"16,00€",N/A
*10 XTC - 200MG,M1000,"30,00€",N/A
*25 XTC - 200MG,M1000,"65,00€","France, Metropolitan (FR)"
10 XTC 6ix9ine,LePetitPrince,"49,98€","France, Metropolitan (FR)"
10 XTC blue punisher,hellbin,"30,00€","France, Metropolitan (FR)"
10 XTC Bowzer 280 Mg Mmda,LePetitPrince,"41,00€","France, Metropolitan (FR)"
10 XTC Maserati 300mg,LePetitPrince,"45,00€","France, Metropolitan (FR)"
10 XTC MyBrant 280 Mg Mmda,LePetitPrince,"42,00€","France, Metropolitan (FR)"
10 XTC PUNISHER BLEU 300MG,produitduterroir,"65,00€","France, Metropolitan (FR)"
10 XTC SILVER PUNISHER 250MG,produitduterroir,"65,00€","France, Metropolitan (FR)"
100  XTC  My Brand,hellbin,"230,00€","France, Metropolitan (FR)"
100 XTC blue punisher,hellbin,"230,00€","France, Metropolitan (FR)"
100 XTC Bowzer 280 Mg Mmda,LePetitPrince,"313,98€",N/A
100 XTC Maserati 300mg,LePetitPrince,"330,00€",N/A
100 XTC Maserati grey 300mg,hellbin,"230,00€","France, Metropolitan (FR)"
100 XTC PUNISHER BLEU 300MG,produitduterroir,"300,00€",N/A
100 XTC SILVER PUNISHER 250MG,produitduterroir,"300,00€","France, Metropolitan (FR)"
100g MDMA COLA,produitduterroir,"950,00€",N/A
10g MDMA 0.83% PURE,LePetitPrince,"123,00€","France, Metropolitan (FR)"
10g MDMA champagne,hellbin,"155,00€","France, Metropolitan (FR)"
10G MDMA COLA,hellbin,"105,00€","France, Metropolitan (FR)"
10g MDMA COLA,produitduterroir,"180,00€",N/A
1g MDMA 0.83% PURE,LePetitPrince,"19,98€","France, Metropolitan (FR)"
1g MDMA champagne,hellbin,"25,00€","France, Metropolitan (FR)"
1G MDMA COLA,hellbin,"20,00€","France, Metropolitan (FR)"
"2,5g MDMA champagne",hellbin,"45,00€","France, Metropolitan (FR)"
2.5G MDMA COLA,hellbin,"40,00€","France, Metropolitan (FR)"
20g MDMA 0.83% PURE,LePetitPrince,"198,98€",N/A
25g MDMA champagne,hellbin,"255,00€",N/A
25g MDMA COLA,produitduterroir,"375,00€",N/A
25G MDMA COLA,hellbin,"255,00€",N/A
2g MDMA 0.83% PURE,LePetitPrince,"35,98€",N/A
40g MDMA 0.83% PURE,LePetitPrince,"351,98€",N/A
10 4-HO-MET 20mg pills,hellbin,"75,00€",N/A
10x Etoile Mescaline Micropointe,LePetitPrince,"79,98€",N/A
25x Etoile Mescaline Micropointe,LePetitPrince,"249,98€",N/A
3 4-HO-MET 20mg pills,hellbin,"25,00€",N/A
5 4-HO-MET 20mg pills,hellbin,"75,00€",N/A
5 Etoile Mescaline Micropointe,LePetitPrince,"69,98€",N/A
50x Etoile Mescaline Micropointe,LePetitPrince,"413,98€",N/A
100 2cb pills Mr Tinkle 20mg,hellbin,"260,00€","France, Metropolitan (FR)"
100mg 2CB powder,hellbin,"20,00€",N/A
1G 2cb powder,hellbin,"100,00€",N/A
2-CB Batman,KantFr,"21,00€","France, Metropolitan (FR)"
25 2cb pills Mr Tinkle 20mg,hellbin,"80,00€","France, Metropolitan (FR)"
250mg de 2CB,hellbin,"35,00€",N/A
5 2cb pills Mr Tinkle 20mg,hellbin,"25,00€","France, Metropolitan (FR)"
50 2cb pills Mr Tinkle 20mg,hellbin,"145,00€",N/A
500mg de 2CB,hellbin,"60,00€",N/A
10G Rosin (huile) 80% de THC,FourDeFrance,"300,00€",N/A
1G Rosin (huile) 80% de THC,FourDeFrance,"35,00€","France, Metropolitan (FR)"
25G Rosin (huile) 80% de THC | 25€/g |,FourDeFrance,"625,00€",N/A
5G Rosin (huile) 80% de THC,FourDeFrance,"160,00€",N/A
crumble,skizoom,"70,00€",N/A
"E-Liquid Classic 10ml, 15% THC",KantFr,"44,50€",N/A
"E-Liquid Classic 10ml, 30% THC",KantFr,"63,50€","France, Metropolitan (FR)"
"E-Liquid Classic 10ml, 65% THC",KantFr,"103,50€","France, Metropolitan (FR)"
oil D.M.E,frenchcritical2.0,"50,00€",N/A
Ecstazy Pink 250MG (XTC) x3,KantFr,"18,00€","France, Metropolitan (FR)"
