Product,Seller,Price,Country
PREPAID PHYSICAL CARD LOADED WITH $1000 ONLY FOR $99 + MEGA BONUS PACK,trusteelucky,$ 138.26,Anonymous
PREPAID PHYSICAL CARD LOADED WITH $1000 ONLY FOR $99 + MEGA BONUS PACK,trusteelucky,$ 138.26,Anonymous
Buy 3.5g Ephedrine Hcl Powder,younnawoman,$ 419.02,Australia
SSD Chemical Solution,wasaa89,"$ 4,539.39",Canada
PMK (Piperonyl Methyl Ketone) Oil,wasaa89,$ 698.37,Canada
20g Sample - Amazing Strong A-Oil Speed Paste 100% Uncut,DrugAmazon,$ 117.29,Germany
100 x 3mg GREEN XANAX (Aprazolam) ..USA - USA,Monster,$ 419.02,United States
Vyvanse Lisdexamfetamine 30/50/70mg (pharma grade),jailbreaker,$ 425.32,Germany
Addyi (flinbanserin) Female viagra,jailbreaker,$ 221.15,Germany
5.5g stinky yellow large shard pure head rushing 4mmc mephedrone,GamersHells,$ 153.64,United States
Oxycodone 30mg A215 Pharma grade,jailbreaker,$ 510.39,United Kingdom
Clonazepam Rivotril Klonopin 2/2.5mg (Pharma grade),jailbreaker,$ 421.63,United Kingdom
Oxycodone 30mg A215 Pharma grade,jailbreaker,$ 510.39,United Kingdom
Zopiclone 10mg 210 TABS,dargreen,$ 305.88,Australia
100 x Zolpidem 10mg ( 10 Tablets ) ( Ambien ),dargreen,$ 118.73,Australia
Clonazepam Rivotril Klonopin 2/2.5mg (Pharma grade),jailbreaker,$ 427.40,Germany
Lyrica (pregabalin) 300mg x 30,jailbreaker,$ 341.93,Germany
100 PILLS X Soma 350mg $360 Best Price Click Here,AndrewAva,$ 642.51,Anonymous
3mmc/metafedron,ThewinningTeam,$ 314.26,Netherlands
5g Uncut Colombian Cocaine 10/10 HQ,jailbreaker,$ 505.56,United Kingdom
"Azithromycin 500mg pills - one total cure against infections, and sexually transmitted diseases",philvon,$ 97.77,United States
VIAGRA 100mg x 200,mohkruz,$ 405.06,Switzerland
US to US 100 pills x Soma 500mg Carisoprodol,philvon,$ 104.76,United States
zopiclone 7.5mg x 28 tabs,AndrewAva,$ 41.90,Anonymous
Alprazolam Powder,dondapilo,$ 35.62,United States
XANAX BARS 100PILLS,quickdeals,$ 209.51,United States
Tramadol 200mg - 25 pills,future,$ 77.93,Spain
RITALIN 10 MG 120 TABLETS,Lucky77,$ 349.19,United States
Xanax 2mg Pharmacy Grade A pill,Lucky77,$ 279.34,United States
Apcalis SX Jelly x 70 sachets- delicious Cialis 20 mg 10 week packs,philvon,$ 152.25,France
Super Vidalista x 100 pills- 10 blisters of generic Cialis 20 Mg +Dapoxetine 60 mg,philvon,$ 115.93,Anonymous
Cenforce 150 x 100 pills- 10 blisters of strong generic Viagra 150 mg,philvon,$ 83.79,Anonymous
"Cenforce 200 x 100 pills- Be like a pornstar, super strong Viagra 200 mg",philvon,$ 96.37,Australia
Kamagra Oral Jelly 100mg x 70 sachets- delicious Viagra 10 week packs by Ajanta Pharma,philvon,$ 124.32,Australia
Adderrall 30mg pharma grade,jailbreaker,$ 505.97,United Kingdom
[AUS-AUS] ATENEX or APO Valium Diazepam 5mg 50 pills,dargreen,$ 377.12,Australia
Addyi (flinbanserin) Female viagra,jailbreaker,$ 221.15,Germany
Addyi (flinbanserin) Female viagra,jailbreaker,$ 221.15,Germany
SUBUTEX ORIGINAL 8mg ( buprenorphine ) x 7 Pills,AndrewAva,$ 111.73,Anonymous
10 x Tramadol / Paracetamol by Krka 75mg / 650mg,XanaxNDD,$ 34.95,United Kingdom
VIAGRA (sildenafil) super cenforce,jailbreaker,$ 254.57,Germany
Addyi (flinbanserin) Female viagra,jailbreaker,$ 220.63,Germany
3C-P .HCL 100 Grams,ausiking,"$ 1,955.42",Australia
3C-P .HCL 50 Grams,ausiking,$ 838.04,Australia
Clonazepam Rivotril Klonopin 2/2.5mg (Pharma grade),jailbreaker,$ 421.63,United Kingdom
Clonazepam Rivotril Klonopin 2/2.5mg (Pharma grade),jailbreaker,$ 421.63,United Kingdom
HIGH GRADE 3.5 grams CRACK Rock purity 80%+,dargreen,$ 279.34,Australia
"100% UNDETECTABLE COUNTERFEIT BILLS(USD,EUR,GBP,AUD,CADS)",jailbreaker,$ 512.89,Germany
5g CRYSTAL METHAMPHETAMINE AAA+++,jailbreaker,$ 427.40,Germany
1g Nembutal Powder 98.75% purity,AndrewAva,$ 58.66,Anonymous
1g Heroin 99.91% purity Lab Test (Acute Test),AndrewAva,$ 62.85,Anonymous
1g Apvp 99.8% purity level,AndrewAva,$ 48.89,Anonymous
Clonazepam Rivotril Klonopin 2/2.5mg (Pharma grade),jailbreaker,$ 427.40,Germany
Lyrica (pregabalin) 300mg x 30,jailbreaker,$ 341.93,Germany
NZeX Dab Rig Set,AndrewAva,$ 69.83,Anonymous
Lyrica (pregabalin) 300mg x 30,jailbreaker,$ 329.49,United Kingdom
10GR AMNESIA HAZE HASH II AAA+ QUALITY.,jailbreaker,$ 427.40,Germany
Ritalin 10mg\30mg\40mg pharma grade,jailbreaker,$ 253.67,Germany
Ritalin 10mg\30mg\40mg pharma grade,jailbreaker,$ 252.79,United Kingdom
Lyrica (pregabalin) 300mg x 30,jailbreaker,$ 337.05,United Kingdom
Buy Xanax 3 mg,MrCortezz,$ 139.67,United States
Order Chloral Hydrate Capsules Online,MrCortezz,$ 279.34,United States
****KETAMINE SUGAR/NEEDLE/ROCK/POWDER MEDICAL GRADE***USA DOM,Monster,$ 202.51,United States
1g Liquid Medical Grade ketamine 99.99% pure,Monster,$ 181.57,United States
EUPO powder 5GRAM,philvon,$ 335.21,United States
FLUBROMAZEPAM powder 10gram,philvon,$ 942.79,United States
KETA STONE *PROMO* (Out of Stock),SwissAvocado,$ 55.87,Switzerland
10gram Fluorodeschloroketamine 2FDCK,philvon,$ 670.43,United States
Ketamine R-ISOMER (SHARDS),germanspezial,$ 35.52,Germany
S-Keta,ShroomstacyAT,$ 44.83,Germany
2g premium Ketamine powder/sugar/rock,philvon,$ 279.34,United States
[USA-USA] Anesket Liquid Ketamine 10ml,philvon,$ 628.54,United States
Pure GHB 50ML,philvon,$ 153.64,United States
25Grams Ketamine S-isomer + FREEBIE,philvon,$ 530.76,Netherlands
50gr Ketamine (R),philvon,$ 879.95,Netherlands
Ketamine solution,AndrewAva,$ 76.83,Anonymous
25gr Ketamine (R),philvon,$ 459.51,Netherlands
20gr Ketamine (R),philvon,$ 368.74,Netherlands
15gr Ketamine (R),philvon,$ 301.68,Netherlands
PROMOTION. Ketamine S-isomer,AndrewAva,$ 76.83,Anonymous
10gr Ketamine (R),philvon,$ 201.12,Netherlands
5gr Ketamine (R),philvon,$ 117.32,Netherlands
50gr Ketamine (S),philvon,$ 879.95,Netherlands
25gr Ketamine (S),philvon,$ 459.51,Netherlands
20gr Ketamine (S),philvon,$ 368.74,Netherlands
KETAMINE,Wizzy,$ 62.85,United States
PURE GBL 480mL,AndrewAva,$ 586.62,Anonymous
Clonazepam Rivotril Klonopin 2/2.5mg (Pharma grade),jailbreaker,$ 425.32,Germany
Clonazepam Rivotril Klonopin 2/2.5mg (Pharma grade),jailbreaker,$ 425.32,Germany
Clonazepam Rivotril Klonopin 2/2.5mg (Pharma grade),jailbreaker,$ 425.32,Germany
PURE CRACK COCAINE,bearft2,$ 139.67,United States
Benzocaine 1 kg medical purity 99.7%,Lidocaineshop,$ 328.23,Poland
10 gram of Amphetamine Paste 72% (Ph7-tested) *PROMOTION*,philvon,$ 698.37,United Kingdom
Lidocaine 8 kg medical purity 99.7% + 10% overweight,Lidocaineshop,"$ 1,326.89",Poland
Lidocaine 4 kg medical purity 99.7% + 10% overweight,Lidocaineshop,$ 810.10,Poland
Lidocaine 2 kg medical purity 99.7% + 10% overweight,Lidocaineshop,$ 474.89,Poland
Lidocaine 1 kg medical purity 99.7% + 10% overweight,Lidocaineshop,$ 251.42,Poland
Quality APIP rock 5g,philvon,$ 310.08,United States
"25 Grams, High Quality Cocaine",rangosmoke,"$ 2,095.10",United States
100gram crack cocaine 98% worldwide priority shipping,rangosmoke,"$ 5,447.26",United States
98% COCAINE,bearft2,$ 139.67,United States
modawake 200mg (generic provigil) 50 tablets,truegenerics,$ 34.92,India
Adderrall 30mg pharma grade,jailbreaker,$ 505.97,United Kingdom
Adderrall 30mg pharma grade,jailbreaker,$ 505.97,United Kingdom
Pure colombian cocaine / coke straight from the knife,philvon,$ 97.77,Germany
Pure colombian cocaine / coke straight from the knife,philvon,$ 97.77,Germany
Adderrall 30mg pharma grade,jailbreaker,$ 505.97,United Kingdom
7g - Social Top Quality Cocaine 82% UK2UK,philvon,$ 558.70,United Kingdom
Adderrall 30mg pharma grade,jailbreaker,$ 505.97,United Kingdom
14g - Social Top Quality Cocaine 82% UK2UK,philvon,"$ 1,047.55",United Kingdom
28g - Social Top Quality Cocaine 82% UK2UK,philvon,"$ 1,815.74",United Kingdom
SPEED PASTA (AMPHETAMINE) - 25 GRAMS,philvon,$ 97.77,Germany
SPEED PASTA (AMPHETAMINE) - 50 GRAMS,philvon,$ 167.61,Germany
SPEED PASTA (AMPHETAMINE) - 100 GRAMS,philvon,$ 279.34,Germany
90% PURE COCAINE,bearft2,$ 125.71,United States
SPEED PASTA (AMPHETAMINE) - 250 GRAMS,philvon,$ 523.77,Germany
SPEED PASTA (AMPHETAMINE) - 500 GRAMS,philvon,$ 838.04,Germany
SPEED PASTA (AMPHETAMINE) - 1000 GRAMS/2.2 POUNDS,philvon,"$ 1,257.07",Germany
"TEST,DBOL,TREN,MAST,CLEN,WINN,SUST,ANADRL,CLOMID,HGH",philvon,$ 83.81,Australia
Melanotan-2 10mg / vial Hilma Biocare,cooldeals,$ 34.92,Australia
Winstrol (Stanozolol 50 x 50mg) ITP-(Intra-Tech-Pharmaceuticals),AndrewAva,$ 55.87,Anonymous
Buy Percocet 10/325mg 100pils/$330,AndrewAva,$ 460.93,Anonymous
Addyi (flinbanserin) Female viagra,jailbreaker,$ 221.15,Germany
Testosterone Enanthate - 400mg/ml - 400ml,AndrewAva,"$ 1,047.55",Anonymous
GENOTROPIN 36IU HGH GO QUICK PEN BY PFIZER!!!!,jailbreaker,$ 254.57,United Kingdom
2KG Ketamine S-Isomer 99% purity,SILVERSTONE,"$ 7,682.03",Netherlands
2KG Ketamine S-Isomer 99% purity,SILVERSTONE,"$ 7,682.03",Netherlands
2KG Ketamine S-Isomer 99% purity,SILVERSTONE,"$ 7,682.03",Netherlands
Winstrol (Stanozolol) - 50mg*50 Tabs,jailbreaker,$ 220.63,Germany
2KG Ketamine S-Isomer 99% purity,SILVERSTONE,"$ 7,682.03",Netherlands
2KG Ketamine S-Isomer 99% purity,SILVERSTONE,"$ 7,682.03",Netherlands
2KG Ketamine S-Isomer 99% purity,SILVERSTONE,"$ 7,682.03",Netherlands
2KG Ketamine S-Isomer 99% purity,SILVERSTONE,"$ 7,682.03",Netherlands
2KG Ketamine S-Isomer 99% purity,SILVERSTONE,"$ 7,682.03",Netherlands
2KG Ketamine S-Isomer 99% purity,SILVERSTONE,"$ 7,682.03",Netherlands
2KG Ketamine S-Isomer 99% purity,SILVERSTONE,"$ 7,682.03",Netherlands
2KG Ketamine S-Isomer 99% purity,SILVERSTONE,"$ 7,682.03",Netherlands
2KG Ketamine S-Isomer 99% purity,SILVERSTONE,"$ 7,682.03",Netherlands
2KG Ketamine S-Isomer 99% purity,SILVERSTONE,"$ 7,682.03",Netherlands
2KG Ketamine S-Isomer 99% purity,SILVERSTONE,"$ 7,682.03",Netherlands
2KG Ketamine S-Isomer 99% purity,SILVERSTONE,"$ 7,682.03",Netherlands
2KG Ketamine S-Isomer 99% purity,SILVERSTONE,"$ 7,682.03",Netherlands
2KG Ketamine S-Isomer 99% purity,SILVERSTONE,"$ 7,682.03",Netherlands
2KG Ketamine S-Isomer 99% purity,SILVERSTONE,"$ 7,682.03",Netherlands
2KG Ketamine S-Isomer 99% purity,SILVERSTONE,"$ 7,682.03",Netherlands
2KG Ketamine S-Isomer 99% purity,SILVERSTONE,"$ 7,682.03",Netherlands
Vyvanse Lisdexamfetamine 30/50/70mg (pharma grade),jailbreaker,$ 425.32,Germany
"CALUANIE MUELEAR OXIDIZE 1L $1,000",mohkruz,"$ 1,396.74",Switzerland
Etoxadrol 10ml,BateckJones,$ 349.17,United States
"Buy Caluanie Muelear Oxidize Heavy Water for Metal Crusing 1L $1,300",Poseidon77,"$ 1,815.74",Anonymous
PREPAID PHYSICAL CARD LOADED WITH $2000 ONLY FOR $179 + MEGA BONUS PACK,trusteelucky,$ 250.01,Anonymous
PREPAID PHYSICAL CARD LOADED WITH $1000 ONLY FOR $99 + MEGA BONUS PACK,trusteelucky,$ 138.26,Anonymous
PREPAID PHYSICAL CARD LOADED WITH $1000 ONLY FOR $99 + MEGA BONUS PACK,trusteelucky,$ 138.26,Anonymous
PREPAID PHYSICAL CARD LOADED WITH $2000 ONLY FOR $179 + MEGA BONUS PACK,trusteelucky,$ 138.26,Anonymous
PREPAID PHYSICAL CARD LOADED WITH $2000 ONLY FOR $179 + MEGA BONUS PACK,trusteelucky,$ 138.26,Anonymous
PREPAID PHYSICAL CARD LOADED WITH $2000 ONLY FOR $179 + MEGA BONUS PACK,trusteelucky,$ 250.01,Anonymous
PREPAID PHYSICAL CARD LOADED WITH $1000 ONLY FOR $99 + MEGA BONUS PACK,trusteelucky,$ 138.26,Anonymous
PREPAID PHYSICAL CARD LOADED WITH $2000 ONLY FOR $179 + MEGA BONUS PACK,trusteelucky,$ 250.01,Anonymous
PREPAID PHYSICAL CARD LOADED WITH $1000 ONLY FOR $99 + MEGA BONUS PACK,trusteelucky,$ 138.26,Anonymous
PREPAID PHYSICAL CARD LOADED WITH $2000 ONLY FOR $179 + MEGA BONUS PACK,trusteelucky,$ 250.01,Anonymous
PREPAID PHYSICAL CARD LOADED WITH $1000 ONLY FOR $99 + MEGA BONUS PACK,trusteelucky,$ 138.26,Anonymous
Red Mercury Liquid,wasaa89,"$ 1,536.42",Canada
Silver liquid mercury,wasaa89,$ 329.64,Canada
Phenylacetone Oil BMK,wasaa89,$ 628.54,Canada
1oz - Punch Cake - Greenhouse (BULK DEALS AVAILABLE),wasaa89,$ 118.73,United States
1/2 OZ- Animal Cookies - Light Dep,wasaa89,$ 72.65,United States
1oz - Animal Cookies - Light Dep,wasaa89,$ 132.68,United States
Amnesia 20g Premium weed,wasaa89,$ 251.42,United States
Amnesia 10g Premium weed,wasaa89,$ 146.66,United States
Amnesia 5g Premium weed,wasaa89,$ 76.83,United States
14g- MIMOSA -,wasaa89,$ 176.01,United States
7g- MIMOSA -,wasaa89,$ 94.97,United States
3.5g- MIMOSA -,wasaa89,$ 50.29,United States
14g - WHITE WIDOW -,wasaa89,$ 142.46,United States
7g - WHITE WIDOW -,wasaa89,$ 81.00,United States
3.5g - WHITE WIDOW -,wasaa89,$ 41.90,United States
14g - AMNESIA HAZE -,wasaa89,$ 153.64,United States
7g - AMNESIA HAZE -,wasaa89,$ 86.58,United States
3.5g - AMNESIA HAZE -,wasaa89,$ 46.08,United States
14g - EL CHAPO OG -,wasaa89,$ 174.60,United States
7g - EL CHAPO OG -,wasaa89,$ 97.77,United States
3.5g - EL CHAPO OG -,wasaa89,$ 50.29,United States
14g - SOUR DIESEL -,wasaa89,$ 146.66,United States
7g - SOUR DIESEL -,wasaa89,$ 83.81,United States
3.5g - SOUR DIESEL -,wasaa89,$ 44.67,United States
10g Super Sour Diesel H.Q CoffeeShop2Uk,dargreen,$ 162.01,Australia
14g TANGERINE DREAM - BEST PRICE - US - NEXT DAY,wasaa89,$ 97.77,United States
7g TANGERINE DREAM - BEST PRICE - US - NEXT DAY,wasaa89,$ 53.07,United States
14g LEMON ZKITTLEZ - US NEXT DAY,wasaa89,$ 111.73,United States
7g LEMON ZKITTLEZ - US NEXT DAY,wasaa89,$ 67.05,United States
3.5g LEMON ZKITTLEZ - US NEXT DAY,wasaa89,$ 34.92,United States
500 Gram CBD Isolate,philvon,$ 558.70,United States
Addyi (flinbanserin) Female viagra,jailbreaker,$ 221.15,Germany
Addyi (flinbanserin) Female viagra,jailbreaker,$ 221.15,Germany
Clonazepam Rivotril Klonopin 2/2.5mg (Pharma grade),jailbreaker,$ 421.63,United Kingdom
Ritalin 10mg\30mg\40mg pharma grade,jailbreaker,$ 252.79,United Kingdom
1 Kg Tobacco No corn or other shit original 1KG Tobacco,melau,$ 436.48,Australia
PREPAID PHYSICAL CARD LOADED WITH $1000 ONLY FOR $99 + MEGA BONUS PACK,trusteelucky,$ 138.26,Anonymous
The finest ORIENTAL TOBACCO - 200g vacum pack,joco0000,$ 51.56,Slovenia
PREPAID PHYSICAL CARD LOADED WITH $1000 ONLY FOR $99 + MEGA BONUS PACK,trusteelucky,$ 138.26,Anonymous
10 cuban cigarettes,joespharmacy,$ 209.51,Ireland
10 cuban cigarettes,joespharmacy,$ 209.51,United States
Golden strip virginia,wasaa89,$ 361.75,Canada
1 MASTER CASE AUTHENTIC SWISS MARLBORO RED AND GOLD (50 CARTONS) ,Qaussie,$ 628.54,Australia
Best Virginia Tobacco 400g Vacum pack (2x200g),joco0000,$ 49.13,Slovenia
Best Virginia Tobacco 1000g Vacum pack,joco0000,$ 114.64,Slovenia
5GR II 4MMC MEPHEDRONE II BEST PRICES II,GamersHells,$ 153.64,United States
5GR II 4MMC MEPHEDRONE II BEST PRICES II,GamersHells,$ 153.64,United States
50GR II 4MMC MEPHEDRONE II BEST PRICES II,GamersHells,$ 628.54,United States
50GR II 4MMC MEPHEDRONE II BEST PRICES II,GamersHells,$ 586.62,United States
25GR II 4MMC MEPHEDRONE II BEST PRICES II,GamersHells,$ 335.21,United States
25GR II 4MMC MEPHEDRONE II BEST PRICES II,GamersHells,$ 335.21,United States
25GR II 4MMC MEPHEDRONE II BEST PRICES II,GamersHells,$ 335.21,United States
25GR II 4MMC MEPHEDRONE II BEST PRICES II,GamersHells,$ 335.21,United States
100GR II 4MMC MEPHEDRONE II BEST PRICES II,GamersHells,"$ 1,047.55",United States
100GR II 4MMC MEPHEDRONE II BEST PRICES II,GamersHells,"$ 1,047.55",United States
Addyi (flinbanserin) Female viagra,jailbreaker,$ 221.15,Germany
HQ Research chemical a-PVP,AndrewAva,"$ 3,910.85",Anonymous
1KG (1000 Grams) HQ Alprazolam Powder (99% PURITY),wasaa89,"$ 12,849.96",United States
500 Grams HQ Alprazolam Powder (99% PURITY),wasaa89,"$ 7,123.34",United States
250 Grams HQ Alprazolam Powder (99% PURITY),wasaa89,"$ 3,799.11",United States
100 Grams HQ Alprazolam Powder (99% PURITY),wasaa89,"$ 1,648.15",United States
50 Grams HQ Alprazolam Powder (99% PURITY),wasaa89,$ 921.84,United States
25 Grams HQ Alprazolam Powder (99% PURITY),wasaa89,$ 530.76,United States
10 Grams HQ Alprazolam Powder (99% PURITY),wasaa89,$ 251.42,United States
5 Grams HQ Alprazolam Powder (99% PURITY),wasaa89,$ 146.66,United States
2 Grams HQ Alprazolam Powder (99% PURITY),wasaa89,$ 62.85,United States
1KG (1000 Grams) HQ 5-MEO-DMT Crystals (99% PURITY),wasaa89,"$ 8,101.07",United States
Clonazepam Rivotril Klonopin 2/2.5mg (Pharma grade),jailbreaker,$ 421.63,United Kingdom
500 Grams HQ 5-MEO-DMT Crystals (99% PURITY),wasaa89,"$ 4,609.23",United States
250 Grams HQ 5-MEO-DMT Crystals (99% PURITY),wasaa89,"$ 2,583.96",United States
100 Grams HQ 5-MEO-DMT Crystals (99% PURITY),wasaa89,"$ 1,173.25",United States
50 Grams HQ 5-MEO-DMT Crystals (99% PURITY),wasaa89,$ 642.50,United States
25 Grams HQ 5-MEO-DMT Crystals (99% PURITY),wasaa89,$ 349.17,United States
5 Hits 165mcg >99% PHARMA GRADE LSD FREE SHIPPING,themodsquad,$ 61.46,United States
200ug LSD sheet,quickdeals,$ 153.64,United States
1g * Elf Spice full spectrum DMT crystals * (mimosa hostilis) * orange type,AndrewAva,$ 139.67,Anonymous
LIMITED SAMPLE SALE 100 x 200ug Illuminati Storm 99.5% Needlepoint xtal ONLY 1.30 EACH TAB!!!,AndrewAva,$ 195.54,Anonymous
4-HO-MiPT 5G,Fredchem,$ 628.54,United States
Changa Special Blend,ShroomstacyAT,$ 209.13,Germany
1000x 2CB pills,AndrewAva,"$ 1,676.08",Anonymous
"N,N DMT 99%",philvon,$ 209.51,United States
4-AcO-DMT,AndrewAva,$ 251.42,Anonymous
"N,N DMT 99%",philvon,$ 139.67,United States
D-Lysergic Acid Diethylamide Tartrate in distilled water DOMESTIC ONLY,philvon,$ 314.26,United Kingdom
UK 20g Mushrooms golden teacher free shipping,philvon,$ 231.86,United Kingdom
UK 10g Mushrooms golden teacher free shipping,philvon,$ 122.91,United Kingdom
UK 7g Mazatapek Magic Mushroom Powder Free Shipping,philvon,$ 89.40,United Kingdom
1000 x 250ug LSD tabs (blotters) | NL to NL !,philvon,"$ 3,317.26",United Kingdom
50 grams DMT [Freebase] – Free Shipping !,Karlos,$ 628.54,United States
100 mickey LSD tab 260 micro grams 260 UG 99.5%+ pure Aztec crystal,AndrewAva,$ 698.37,Anonymous
50 grams DMT [Freebase] – Free Shipping !,Karlos,$ 628.54,United States
"High Purity DMT N,N-Dimethyltryptamine CRYSTALS",goodvibes1,$ 57.29,Germany
"$175/OZ YETI, OMNI, MONSTER MAK MUSHROOMS 7G, 14G, 28G, 113G",NotCal2020,$ 62.85,United States
"$200/OZ ALBINO PENIS ENVY MUSHROOMS 7G, 14G, 28G",NotCal2020,$ 76.83,United States
2C-B - 25x,amaguetesiegel,$ 129.31,Austria
100pc   2-CB PILLS 24MG  ,AndrewAva,$ 202.51,Anonymous
5 Grams 5-CL-DMT,AndrewAva,$ 377.12,Anonymous
200ug LSD sheet,AndrewAva,$ 167.61,Anonymous
5g Penis Envy Mushrooms HIGHLY POTENT,AndrewAva,$ 69.83,Anonymous
"3,5 grams (BLENDED) Psilocybe cubensis Amazonian.",AndrewAva,$ 83.81,Anonymous
Psilocybe Cubensis (Non Powdered),AndrewAva,$ 65.63,Anonymous
Addyi (flinbanserin) Female viagra,jailbreaker,$ 221.15,Germany
Clonazepam Rivotril Klonopin 2/2.5mg (Pharma grade),jailbreaker,$ 421.63,United Kingdom
Ritalin 10mg\30mg\40mg pharma grade,jailbreaker,$ 252.79,United Kingdom
Sibutramine (Appetite Suppressant) – 100 tb/20 mg – Nouveaux – expires 01/2024,swgoodies,$ 113.21,Netherlands
Top Quality Fake Banknotes Available for sale,futuremeds,$ 698.37,United States
Winstrol - 100 tb/10 mg - Nouveaux - exp. 09/2024,swgoodies,$ 85.62,Netherlands
Cytomel (T3) – 60 tb/ 50 mcg – Balkan Pharmaceuticals – expires 07/2023,swgoodies,$ 71.20,Netherlands
PREPAID PHYSICAL CARD LOADED WITH $1000 ONLY FOR $99 + MEGA BONUS PACK,trusteelucky,$ 138.26,Anonymous
200x Ritalin 20Mg,GamersHells,$ 488.86,United States
200x Phentermine 375mg,GamersHells,"$ 1,046.16",United States
200x Phentermine 37.5mg,GamersHells,"$ 1,043.36",United States
200x Phentermine 30mg,GamersHells,"$ 1,040.56",United States
Phentermine 15mg,GamersHells,"$ 1,037.77",United States
"DNP (2,4-dinitrophenol) 200mg 50 capsules | WORLDWIDE | CHEAPEST | ESCROW",dobdom4eu,$ 67.05,Poland
100X Cart - Mix and Match - 30 brand selections! (BULK DEALS),GamersHells,"$ 1,033.59",United States
1 x 30 Tablets Diazide – 40Mg/ Per Tab - WATER PILL,libertyman,$ 111.73,United States
AUTHENTIC PhenQ Weight Loss Burn Fat Burner Energy Diet Pills (4),Psychedelics,$ 419.02,United States
Keto Diet Pills(Boost Energy) BHB Advanced Weight Loss Burn Capsules*3-Bottles 2,Psychedelics,$ 419.02,United States
100tb Adipex (Phentermine) 37.5 mg – Teva,Apvpmonkeyking,$ 276.55,Anonymous
Sibutramine (Appetite Suppressant) – 60 tb/15 mg – Meridia – expires 2024,Apvpmonkeyking,$ 95.94,Anonymous
1000Tablets Ephedrine Hydrochloride 20mg,Apvpmonkeyking,$ 185.14,Anonymous
100Tabs Clenbuterol 40mcg E/P Double Strength,Apvpmonkeyking,$ 53.98,Anonymous
50 capsules orlijohn-120mg (generic xenical),Apvpmonkeyking,$ 50.29,Anonymous
100 tablets thyrox 200mcg (generic thyrax),Apvpmonkeyking,$ 75.42,Anonymous
Cytomel (T3) – 60 tb/ 50 mcg – Balkan Pharmaceuticals – expires 07/2023,swgoodies,$ 81.98,Netherlands
Reductil 15MG X 180 caps,younnawoman,$ 558.70,Australia
 Pharmacy Phentermine 37.5MG x 200 tabs,younnawoman,$ 279.34,Australia
Clenbuterol – 100 tb/40 mcg – Nouveaux – expires 2024,swgoodies,$ 95.93,Netherlands
Pure MDMA,AndrewAva,$ 335.21,Anonymous
One Ounce (28 grams) High Quality MDMA 84%,AndrewAva,$ 279.34,Anonymous
74x GLITTER BOWSER XTC 300MG | STELLAR QUALITY|,AndrewAva,$ 251.42,Anonymous
100 Ecstacy xtc molly,joespharmacy,$ 279.34,Australia
500 Ecstacy xtc molly,joespharmacy,"$ 1,117.40",Australia
1000 Ecstacy xtc molly,joespharmacy,"$ 2,095.10",Australia
1000Gr Mdma Rare Platinium 92% Pure,AndrewAva,"$ 4,888.57",Anonymous
Clonazepam Rivotril Klonopin 2/2.5mg (Pharma grade),jailbreaker,$ 425.32,Germany
Clonazepam Rivotril Klonopin 2/2.5mg (Pharma grade),jailbreaker,$ 425.32,Germany
Clonazepam Rivotril Klonopin 2/2.5mg (Pharma grade),jailbreaker,$ 425.32,Germany
1g HQ MDMA,dargreen,$ 279.34,Australia
